routine	key	size	epopenblas-omp1	epopenblas-omp4	parallel-blas-omp1	parallel-blas-omp4	migrated-serial	mig_par_omp1	mig_par_omp4	mig_ep_omp1	mig_ep_omp4
ygbmv	T/x2/y-1	512	2.9882	1.6440	2.9667	2.9904	3.1524	3.1524	3.1646	3.1605	3.1068
ygbmv	T/x2/y-1	1024	2.9667	2.0263	2.9635	2.9607	3.1410	3.1410	3.1399	3.0941	3.1448
ygbmv	T/x2/y2	128	3.1792	3.1850	3.1758	3.1671	3.3360	3.3360	3.3242	3.3448	3.3581
ygbmv	T/x2/y2	256	3.0542	3.0620	3.0534	3.0509	3.2285	3.2285	3.2200	2.8815	3.2160
ygbmv	T/x2/y2	512	2.9593	1.6475	2.9816	2.9801	3.1452	3.1452	3.1651	3.1633	3.1376
ygbmv	T/x2/y2	1024	2.9428	2.0389	2.9362	2.9526	3.1435	3.1435	3.1415	3.1407	3.1454
ygbmv	T/y-1	128	3.1290	3.1353	3.1254	3.0950	3.2553	3.2553	3.1801	3.2643	3.2641
ygbmv	T/y-1	256	3.0150	3.0158	3.0516	2.9768	3.1611	3.1611	3.0873	3.1416	3.1643
ygbmv	T/y-1	512	2.9542	1.6667	2.9754	2.9127	3.0935	3.0935	3.0345	2.9472	3.0820
ygbmv	T/y-1	1024	2.8885	2.0841	2.9412	2.8685	3.0776	3.0776	2.9928	3.0598	3.0773
ygbmv	T/y2	128	3.1351	3.1312	3.1697	3.0405	3.2542	3.2542	3.1789	3.2566	3.2626
ygbmv	T/y2	256	3.0210	3.0181	3.0476	2.9568	3.1595	3.1595	2.8843	3.1631	3.1459
ygbmv	T/y2	512	2.9495	1.6595	2.9828	2.9161	3.1038	3.1038	3.0365	3.0959	3.1039
ygbmv	T/y2	1024	2.9238	2.0686	2.9438	2.8521	3.0692	3.0692	2.9649	2.9974	3.0752
ygemm	CN	64	2.2849	2.1311	2.9193	2.7737	2.9686	2.9686	2.9687	2.9685	2.9536
ygemm	CN	128	2.3743	2.3263	2.9485	2.8858	2.9696	2.9696	2.9543	2.9525	2.9008
ygemm	CN	256	2.4003	2.3527	2.9765	2.9176	2.9657	2.9657	2.9773	2.9295	2.9848
ygemm	CN	512	2.3946	2.3522	2.8844	2.8309	2.9039	2.9039	2.8831	2.8953	2.8900
ygemm	NC	64	2.2596	2.1212	2.5586	2.5431	2.5101	2.5101	2.4916	2.3969	2.5001
ygemm	NC	128	2.2762	2.3256	2.7043	2.6584	2.5251	2.5251	2.5065	2.4660	2.5098
ygemm	NC	256	2.3976	2.3404	2.7194	2.6815	2.5248	2.5248	2.5630	2.5403	2.5460
ygemm	NC	512	2.3978	2.3514	2.6486	2.5706	2.4879	2.4879	2.4701	2.4759	2.4806
ygemm	NN	64	2.1774	1.9222	2.2291	2.4131	2.4607	2.4607	2.4818	2.4476	2.4683
ygemm	NN	128	2.2774	2.3046	2.6693	2.6509	2.6128	2.6128	2.6024	2.5048	2.5789
ygemm	NN	256	2.3974	2.3481	2.7407	2.6369	2.6412	2.6412	2.6026	2.6475	2.6154
ygemm	NN	512	2.3994	2.3558	2.6856	2.6342	2.5932	2.5932	2.5974	2.6084	2.5905
ygemm	NT	64	2.3001	2.1054	2.6747	2.5215	2.4943	2.4943	2.4119	2.5028	2.4902
ygemm	NT	128	2.3686	2.3310	2.6659	2.6725	2.5193	2.5193	2.5174	2.5206	2.5347
ygemm	NT	256	2.3895	2.3570	2.6925	2.6962	2.5274	2.5274	2.5331	2.4787	2.5450
ygemm	NT	512	2.3895	2.3551	2.6464	2.6006	2.4847	2.4847	2.4867	2.4697	2.4795
