run_id	run_binary	omp	taskset	routine	key	size	iters	subject_GFs	migrated_GFs
parallel-blas-omp1	par_	1	0	ecopy	-	1024	5	142.7068	25.4848
parallel-blas-omp1	par_	1	0	ecopy	-	2048	5	103.9651	25.7740
parallel-blas-omp1	par_	1	0	ecopy	-	4096	5	92.8516	25.8189
parallel-blas-omp1	par_	1	0	ecopy	-	16384	5	69.5142	24.5029
parallel-blas-omp1	par_	1	0	ecopy	-	65536	5	66.5779	25.9494
parallel-blas-omp4	par_	4	0	ecopy	-	64	5	60.2472	21.1597
parallel-blas-omp4	par_	4	0	ecopy	-	128	5	117.7522	23.4844
parallel-blas-omp4	par_	4	0	ecopy	-	256	5	175.0466	24.7777
parallel-blas-omp4	par_	4	0	ecopy	-	512	5	208.3765	25.0075
parallel-blas-omp4	par_	4	0	ecopy	-	1024	5	141.9727	25.4844
parallel-blas-omp4	par_	4	0	ecopy	-	2048	5	103.9382	25.7146
parallel-blas-omp4	par_	4	0	ecopy	-	4096	5	101.6522	25.8137
parallel-blas-omp4	par_	4	0	ecopy	-	16384	5	69.7638	25.8933
parallel-blas-omp4	par_	4	0	ecopy	-	65536	5	66.9572	25.5572
epopenblas-omp1	ep_	1	0	edot	-	64	5	1.9337	1.9998
epopenblas-omp1	ep_	1	0	edot	-	128	5	2.4664	2.0002
epopenblas-omp1	ep_	1	0	edot	-	256	5	2.6393	2.0712
epopenblas-omp1	ep_	1	0	edot	-	512	5	2.7349	2.0940
epopenblas-omp1	ep_	1	0	edot	-	1024	5	2.7054	2.1174
epopenblas-omp1	ep_	1	0	edot	-	2048	5	2.4869	2.1298
epopenblas-omp1	ep_	1	0	edot	-	4096	5	2.4980	2.1373
epopenblas-omp1	ep_	1	0	edot	-	16384	5	2.1567	1.9808
epopenblas-omp1	ep_	1	0	edot	-	65536	5	1.9863	1.8629
epopenblas-omp4	ep_	4	0	edot	-	64	5	1.9162	1.9337
epopenblas-omp4	ep_	4	0	edot	-	128	5	2.4472	2.0710
epopenblas-omp4	ep_	4	0	edot	-	256	5	2.6584	2.0781
epopenblas-omp4	ep_	4	0	edot	-	512	5	2.7190	2.0958
epopenblas-omp4	ep_	4	0	edot	-	1024	5	2.7018	2.1100
epopenblas-omp4	ep_	4	0	edot	-	2048	5	2.4684	2.1335
epopenblas-omp4	ep_	4	0	edot	-	4096	5	2.4871	2.1375
epopenblas-omp4	ep_	4	0	edot	-	16384	5	0.6166	1.9757
epopenblas-omp4	ep_	4	0	edot	-	65536	5	1.2684	1.9654
parallel-blas-omp1	par_	1	0	edot	-	64	5	2.0006	2.0189
parallel-blas-omp1	par_	1	0	edot	-	128	5	2.3835	2.0714
parallel-blas-omp1	par_	1	0	edot	-	256	5	2.5149	2.0915
parallel-blas-omp1	par_	1	0	edot	-	512	5	2.5729	2.0992
parallel-blas-omp1	par_	1	0	edot	-	1024	5	2.6116	2.1113
parallel-blas-omp1	par_	1	0	edot	-	2048	5	2.3897	2.0962
parallel-blas-omp1	par_	1	0	edot	-	4096	5	2.4227	2.1060
parallel-blas-omp1	par_	1	0	edot	-	16384	5	2.1915	1.8224
parallel-blas-omp1	par_	1	0	edot	-	65536	5	2.1063	1.9590
parallel-blas-omp4	par_	4	0	edot	-	64	5	1.9875	1.9875
parallel-blas-omp4	par_	4	0	edot	-	128	5	2.3701	2.0414
parallel-blas-omp4	par_	4	0	edot	-	256	5	2.4450	2.1035
parallel-blas-omp4	par_	4	0	edot	-	512	5	2.5885	2.1018
parallel-blas-omp4	par_	4	0	edot	-	1024	5	2.6196	2.1245
parallel-blas-omp4	par_	4	0	edot	-	2048	5	2.5200	2.1271
parallel-blas-omp4	par_	4	0	edot	-	4096	5	2.4462	2.1071
parallel-blas-omp4	par_	4	0	edot	-	16384	5	2.1801	1.9803
parallel-blas-omp4	par_	4	0	edot	-	65536	5	2.1734	1.9399
epopenblas-omp1	ep_	1	0	egbmv	N	128	5	1.0595	1.1947
epopenblas-omp1	ep_	1	0	egbmv	N	256	5	1.0347	1.1673
epopenblas-omp1	ep_	1	0	egbmv	N	512	5	1.0244	1.1528
epopenblas-omp1	ep_	1	0	egbmv	N	1024	5	1.0193	1.1472
epopenblas-omp1	ep_	1	0	egbmv	N/y2	128	5	1.0562	1.0594
epopenblas-omp1	ep_	1	0	egbmv	N/y2	256	5	1.0283	1.0318
epopenblas-omp1	ep_	1	0	egbmv	N/y2	512	5	1.0170	0.9932
epopenblas-omp1	ep_	1	0	egbmv	N/y2	1024	5	1.0118	1.0161
epopenblas-omp1	ep_	1	0	egbmv	N/y-1	128	5	1.0564	1.0616
epopenblas-omp1	ep_	1	0	egbmv	N/y-1	256	5	0.9716	1.0338
epopenblas-omp1	ep_	1	0	egbmv	N/y-1	512	5	1.0182	1.0200
epopenblas-omp1	ep_	1	0	egbmv	N/y-1	1024	5	0.9974	1.0154
epopenblas-omp1	ep_	1	0	egbmv	N/x2	128	5	1.0626	1.1954
epopenblas-omp1	ep_	1	0	egbmv	N/x2	256	5	1.0335	1.1680
epopenblas-omp1	ep_	1	0	egbmv	N/x2	512	5	1.0142	1.1531
epopenblas-omp1	ep_	1	0	egbmv	N/x2	1024	5	1.0188	1.1470
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y2	128	5	1.0568	1.0590
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y2	256	5	1.0322	1.0336
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y2	512	5	1.0178	1.0199
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y2	1024	5	1.0012	1.0146
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y-1	128	5	1.0557	1.0582
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y-1	256	5	1.0277	1.0324
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y-1	512	5	1.0169	1.0201
epopenblas-omp1	ep_	1	0	egbmv	N/x2/y-1	1024	5	1.0124	1.0153
epopenblas-omp1	ep_	1	0	egbmv	N/x-1	128	5	1.0563	1.1936
epopenblas-omp1	ep_	1	0	egbmv	N/x-1	256	5	1.0331	1.1674
epopenblas-omp1	ep_	1	0	egbmv	N/x-1	512	5	1.0239	1.1535
epopenblas-omp1	ep_	1	0	egbmv	N/x-1	1024	5	1.0186	1.1372
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y2	128	5	1.0558	1.0600
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y2	256	5	1.0282	1.0335
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y2	512	5	0.9996	1.0213
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y2	1024	5	1.0126	1.0166
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y-1	128	5	1.0567	1.0593
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y-1	256	5	1.0292	1.0331
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y-1	512	5	1.0163	1.0197
epopenblas-omp1	ep_	1	0	egbmv	N/x-1/y-1	1024	5	1.0046	1.0162
epopenblas-omp1	ep_	1	0	egbmv	T	128	5	2.1894	2.1106
epopenblas-omp1	ep_	1	0	egbmv	T	256	5	2.1551	2.0866
epopenblas-omp1	ep_	1	0	egbmv	T	512	5	1.9483	2.0214
epopenblas-omp1	ep_	1	0	egbmv	T	1024	5	2.0275	1.9932
epopenblas-omp1	ep_	1	0	egbmv	T/y2	128	5	2.1927	2.1062
epopenblas-omp1	ep_	1	0	egbmv	T/y2	256	5	2.1533	2.0867
epopenblas-omp1	ep_	1	0	egbmv	T/y2	512	5	2.0502	2.0283
epopenblas-omp1	ep_	1	0	egbmv	T/y2	1024	5	2.0203	1.9963
epopenblas-omp1	ep_	1	0	egbmv	T/y-1	128	5	2.2093	2.1165
epopenblas-omp1	ep_	1	0	egbmv	T/y-1	256	5	2.1472	2.0943
epopenblas-omp1	ep_	1	0	egbmv	T/y-1	512	5	1.9730	2.0268
epopenblas-omp1	ep_	1	0	egbmv	T/y-1	1024	5	2.0206	1.9651
epopenblas-omp1	ep_	1	0	egbmv	T/x2	128	5	2.0593	2.1131
epopenblas-omp1	ep_	1	0	egbmv	T/x2	256	5	2.0272	2.0654
epopenblas-omp1	ep_	1	0	egbmv	T/x2	512	5	1.9430	1.9874
epopenblas-omp1	ep_	1	0	egbmv	T/x2	1024	5	1.9162	1.9458
epopenblas-omp1	ep_	1	0	egbmv	T/x2/y2	128	5	1.4247	1.3393
epopenblas-omp1	ep_	1	0	egbmv	T/x2/y2	256	5	2.0137	2.0577
epopenblas-omp1	ep_	1	0	egbmv	T/x2/y2	512	5	1.9476	1.9869
epopenblas-omp1	ep_	1	0	egbmv	T/x2/y2	1024	5	1.9193	1.9613
epopenblas-omp1	ep_	1	0	egbmv	T/x2/y-1	128	5	2.0581	2.1089
epopenblas-omp1	ep_	1	0	egbmv	T/x2/y-1	256	5	2.0166	2.0685
